post_id,post_date,post_images,post
2023-12-20_22-03-29,2023-12-20 22:03:29,['2023-12-20_22-03-29_UTC.jpg'],"Gostaria de agradecer a todos que pararam um instante do seu dia para escrever uma mensagem de conforto. Isso é o espelho de como a Arielle foi uma pessoa querida. E com certeza irá fazer muita falta para todos nós que lembraremos dela sempre com alegria.

Informamos àqueles que querem prestar uma última homenagem, que o velório será feito no dia 21/12 de 13 às 15:30, na Igreja Presbiteriana Nacional.

Agradecemos mais uma vez a todos.
"
2023-12-20_15-47-14,2023-12-20 15:47:14,['2023-12-20_15-47-14_UTC.jpg'],"Queridos seguidores, o Senhor que nos encontra em cada momento da vida também está pessoalmente presente do outro lado da morte. Ele mesmo segurou minha mão em todos os momentos em que estive aqui, e não soltou nenhum minuto, enquanto meu corpo parava de funcionar e minha alma se desapegava dele para ser recebida na glória. 

Ei, não precisa ficar com medo! Não há temor quando a bondade do Deus todo poderoso te cerca e você escuta os Santos anjos louvando ao Dono da vida que alegremente recebe em Seus braços de amor mais um dos seus filhos. Mais um daqueles que não mereceram estar ali, mas foram comprados por valor altíssimo com o precioso sangue de Cristo.

Agora estou aliviada dos meus fardos e dores, me preparando para também louvar ao meu Deus pela eternidade. Mas sei que muitos de vocês choram mesmo sem entender por quê:

Vocês choram porque acabou mesmo e nenhum de nós queria que acabasse; choram porque a morte é mesmo algo a ser lamentado; choram por saudade das coisas que não serão.

E mesmo assim o choro de vocês é estranho porque não é desesperado, angustiado, desconsolado: vocês conhecem a mim a as minhas palavras sempre ditas, sabem que “a vontade Dele é perfeita e é ela que eu quero que se cumpra em mim”, então sabem que ela se cumpriu e eu estou feliz com isso. 

Aos poucos, no tempo certo, todos ficaremos. Quando as lágrimas secarem, vocês também conseguirão novamente se alegrar e cantar da bondade do Senhor. Quando isso acontecer, eu quero ser lembrada com aquele sorriso de canto nos lábios e aquele pensamento no coração de quem realmente viveu uma vida que valeu a pena!
"
2023-12-16_22-54-50,2023-12-16 22:54:50,['2023-12-16_22-54-50_UTC.jpg'],"²¹ Não teme a neve na sua casa, porque toda a sua família está vestida de escarlata.—Provérbios 31:21)

Vês? Esta família está vestida de escarlata.  Ainda não viu? É porque dessa vez é só simbolicamente. O inverno chegou. 

Chegou mas só foi aqui. E quem vestiu sua família não foi essa mulher enrolada, que até hoje têm dificuldade em saber exatamente a estação do ano. Foi Deus, por Sua infinita bondade.

Veja que enquanto trabalhávamos, Ele mandou o inverno, e enquanto mandava o inverno Ele também vestiu essa mulher de força e honra. (Pv 31:25) E, vestida assim, de força e honra, ela não sabia, mas estava sendo preparada para o inverno, e preparando a sua família para o pior inverno de suas vidas: o último em que ela estará.

Faz sentido comemorar, tanto quanto faz sentido sofrer. Faz sentindo sofrer ao mesmo temo que se alegra. Faz sentido se alegrar ao mesmo tempo em que chora. E faz sentido chorar ao mesmo temo em que seguimos confiantes.

“ A minha carne e o meu coração desfalecem; mas Deus é a fortaleza do meu coração, e a minha porção para sempre”. —Salmos 73:26
"
2023-12-13_03-28-50,2023-12-13 03:28:50,['2023-12-13_03-28-50_UTC.jpg'],"Impossível. Ao longo dos últimos dois anos, foi ficando cada vez mais difícil não fazer essa pergunta. Impossível olhar para a minha vida e não dizer “Meu Deus, por que eu?”

Meu Deus, por que me deste pelo Instagram tantas pessoas sinceras, que realmente me amam e se importam comigo mesmo sem nunca terem me visto pessoalmente? Por que eu?

Meu Deus, por que levas estas pessoas com suas famílias a se preocuparem e orarem por mim e por minha família as vezes diariamente até? Por que eu?

Meu Deus, por que moves o coração destas pessoas para generosamente fazerem contribuições financeiras para mim, de forma que eu venha a ter uma casa confortável, até com grama no quintal?! Por que eu?

Meu Deus, por que insistir em cuidar de mim em cada detalhe, mesmo enquanto a doença piora e eu preciso de internação, dando-me um ótimo quarto, com colchões confortáveis, com lençóis limpos, com água quentinha pra tomar banho e comida boa; e dando-me médicos, enfermeiros e técnicos maravilhosos para cuidarem de mim diariamente? Por que eu?

Meu Deus, por que me rodear de pessoas que verdadeiramente me amam e estão dispostas a se sacrificarem por mim e por minha família, suprindo todas as nossas necessidades? Por que eu? 

Meu Deus, por que estas pessoas cuidam tão bem de mim, de forma que eu nunca estou sem Acompanhante no hospital? Por que eu?

Por que eu? Por que eu? 

Eu poderia continuar fazendo uma lista imensa dos motivos que me fazem sorrir nesta foto, e ao mesmo tempo, enchem meu coração de verdadeira gratidão. 

Eu não mereço! Eu não mereço! Mas eu aceito, meu Deus! Eu recebo alegremente — e com lágrimas — estas bênçãos que me dás por pura generosidade. E continuo me perguntando por que tanta bondade comigo! 

“Os filhos dos leões necessitam e sofrem fome, mas àqueles que buscam ao Senhor bem nenhum faltará.” — Salmos 34:10
"
2023-12-07_21-13-51,2023-12-07 21:13:51,['2023-12-07_21-13-51_UTC.jpg'],"“Deus, mais uma vez segura a minha mão
Minha alma aflita pede tua atenção
Cheguei no nivel mais difícil até aqui
Me ajude a concluir”🎶🎶

Esta não é uma música que eu cante muito, mas me peguei lembrando dela hoje enquanto, nervosa, fazia mais um novo procedimento, porque quase diariamente tenho sentido “minhas forças indo embora”, enquanto o Senhor, igualmente, tem vindo me fortalecer.

Viver um dia de cada vez não é tão fácil, afinal. Mesmo que “cada dia já traga seu próprio mal”, como diz Jesus, ainda assim teimamos antecipar o mal do dia de amanhã em uma certa ansiedade nervosa. 

E eu realmente acredito que esse seja o principal motivo de “sentirmos as forças indo embora”: quando olhamos para o amanhã e ele é simplesmente grande demais para ser vencido por nossa pequenez: o coração aperta, a respiração fica ofegante, os olhos enchem de lagrimas, e o pensamento percorre todas as dores possíveis a um futuro apenas imaginado.

Ah! Como a simples sombra de um possível amanhã pode doer! Mas então, o Senhor vem ao meu socorro  dizendo que basta levar diante Dele minhas angústias em oração — a Ele é mais ninguém —, e Ele inundará meu coração de paz.

Acho que é assim que Deus tem me feito forte na oração. São as angústias que têm me levado a Ele. 

“Não estejais inquietos por coisa alguma; antes as vossas petições sejam em tudo conhecidas diante de Deus pela oração e súplica, com ação de graças. E a paz de Deus, que excede todo o entendimento, guardará os vossos corações e os vossos pensamentos em Cristo Jesus”. —Filipenses 4:6,7
"
2023-12-06_15-34-25,2023-12-06 15:34:25,['2023-12-06_15-34-25_UTC.jpg'],"Morfina. Um medicamento forte que, usado a longo prazo, traz vários efeitos colaterais. — Eu li no Google enquanto ainda estava “bem”, e receosa decidi que não seria tão fácil assim aceitar que me dessem esse medicamento.

Mas a dor — ah! a dor! A dor foi tão forte. Uma vez, duas vezes, três vezes… E cá estou eu usando medicamentos tão fortes quanto a dor. 

Olhei pra morfina, como alguém que não quer aceitar que seja assim, e meu próprio coração me respondeu dizendo “não seja ingrata: existe algo que alivie sua dor”.

Desde então fiquei refletindo naquele versículo de 1 Timóteo 4:4: 

“Pois tudo o que Deus criou é bom, e nada deve ser rejeitado, se for recebido com ação de graças.”

Que consolo! Que consolo saber que eu posso simplesmente receber essa morfina com ação de graças, louvando ao Senhor porque ela existe e eu posso ter um pouco mais de conforto por meio dela!

Tudo o que o Senhor nos dá pode ser recebido com gratidão ao invés de desconfiança. Ele providencia o que preciso com amor. É bom. Não há o que temer. 

Posso receber e descansar na confiança de que também contribuirá para o meu bem. E tem contribuído. Meu frágil corpo tem encontrado alívio na Sua providencia bondosa. 

Graças a Deus por isso. 

Graças a Deus pela morfina que alivia minha dor.
"
2023-11-28_21-22-28,2023-11-28 21:22:28,['2023-11-28_21-22-28_UTC.jpg'],"E de repente eles estavam ali, dentro da própria toca do dragão, Bilbo e os anãos, e não havia mais caminho a ser caminhado que não levasse diretamente às narinas do grande lagarto. E este trabalho era apenas de Bilbo. Fosse como fosse, agora a história seguiria adiante. 
.
Coragem, ousadia, força? Nenhuma dessas possíveis armaduras estavam largadas ali à beira do caminho. Apenas, a cada passo em direção ao que muito possivelmente significava FIM, havia um coração acelerado de nervoso, olhos marejados pela antecipação da dor, e passos silenciosos tomados de pavor.
.
Coragem. O que é coragem? O medo — ele é real. A dor — ela é real. Seria coragem o “fingir que não há motivos para ter medo ou sentir dor?  Eu me recuso a acreditar. 
.
Hoje eu estou aqui, me sentindo completamente como Bilbo. Medrosos? Poderíamos nos chamar assim. Mas, seja como for, mesmo com corações acelerados, e olhos marejados e passos silenciosos, estamos caminhando em direção aos nossos desafios. 
.
Não estamos aqui parados, sentados, nos  lamentando. Cabeças erguidas, estamos avançando. E eu, por não ser feita de matéria literária, estou avançando por um único motivo: Ele me faz avançar. Não eu. Somente Ele. Somente a força Dele. Porque meu é o medo, mas Dele a coragem.
"
2023-11-09_18-36-37,2023-11-09 18:36:37,['2023-11-09_18-36-37_UTC.jpg'],"“Em todo o tempo ama o amigo; e na angústia nasce o irmão.”

Domingo passado, enquanto íamos à igreja, por algum motivo o meu marido comentou que teríamos que vender nosso carro, conquistado com muito suor, para abater nas dívidas da casa. Sim, a expectativa que tínhamos de gasto em abril havia sido ultrapassada por negligências e furtos dos funcionários, e chegamos na fase de acabamentos igualmente acabados financeiramente.
.
Isso, de ficarmos sem dinheiro, havia acontecido uma vez: lá em abril, quando fiz o produto colcha de retalhos a fim de que o nosso carro não fosse vendido. Naquela época, assim como agora, eu me entristeci com a notícia, me calei e fui orar. E o Senhor providenciou uma saída. 
.
Mas… desta vez? O que eu poderia fazer? Como eu poderia novamente reunir valor suficiente pra mantermos nosso carro tão necessário?
.
Eu não tinha a menor condição. Entreguei minhas orações sobre isso ao Senhor e descansei meu coração. 

De repente, minhas irmãs fiéis aparecem com uma campanha pra me ajudar! Não, eu não tinha falado nada com elas sobre minha situação. Mas elas queriam (e querem) ver a casa terminada. Elas querem se alegrar comigo por ver cada coisa em seu lugar. Elas, que já choraram muito comigo até aqui, querem sorrir comigo também enquanto Deus permitir.
.
Louvado seja o nome do Senhor por ter me dado essa enorme supresa!

Então, as vezes me vem à mente: por que tantas orações minhas Ele responde tão rápido e os inúmeros pedidos sobre o câncer Ele tarda em atender? Porque Ele é Deus, né?! E tem o direito de fazer as coisas como quer. Mas acredito que eu também tenho uma coisa a aprender, como Paulo: a graça Dele tem que ser suficiente para mim.
"
2023-11-09_02-14-09,2023-11-09 02:14:09,"['2023-11-09_02-14-09_UTC_6.jpg', '2023-11-09_02-14-09_UTC_1.jpg', '2023-11-09_02-14-09_UTC_4.jpg', '2023-11-09_02-14-09_UTC_3.jpg', '2023-11-09_02-14-09_UTC_2.jpg', '2023-11-09_02-14-09_UTC_5.jpg']","Qual de nós nunca foi abençoada pela querida Arielle Pedrosa? Seja por sua habilidade com as palavras ou com sua sinceridade em se comunicar, deixando visível sua fragiliade que nos aponta para a Rocha, que é Cristo. 

Em seu momento de maior luta, ela não se rocolhe para cuidar apenas de si ou dos seus, mas se dispõe nas mãos de Deus para ser instrumento de edificação, ânimo e consolo para o povo de Deus, que como ela, peregrina neste deserto rumo à cidade Celestial 

É incrível como aprendemos a amar quem nos abençoa, não é mesmo? 

Mas, lembrando que o amor se expressa em ações, suas amigas e irmãs resolveram se juntar para abençoá-la e retribuir só um pouquinho de tudo que Arielle já fez e faz por nós. 

Não há como retribuir uma palavra de exortação ou de consolo, não há como retribuir uma instrução bíblica e sábia. Não há como recompensar um testemunho tão poderoso e transformador como o dela! 

Sei que a vontade de cada um de nós seria ir lá na casa dela, dar um abraço, levar um presente e dizer o quanto ela é importante para nós em tantas áreas. 

Na impossibilidade de ir até lá, pensamos num jeito de levar nosso consolo, conforto e amor em forma de contribuição financeira, neste momento de tantas despesas. 

Este consolo chegará a ela e a sua amada família para que usem os recursos de modo a aliviar de alguma forma as dificuldades que têm vivido. 

Por isso nos juntamos para esta campanha de auxílio, que dará presentes para quem ajudar.

É isso mesmo! Além de abençoar, seremos abençoadas. 

As regras do sorteio: 

Contribuir com o valor mínimo de 35,00 diretamente no pix da Arielle.

Independente da oferta, cada um participará apenas uma vez do sorteio, com direito a um único prêmio se for sorteado.

A escolha dos presentes será feito de forma aleatória

Preencher o formulário e anexar o comprovante 

O formulário se encontra no perfil do instagram: @mpiedosas 

No dia 08 de dezembro faremos o sorteio nos perfis: @mpiedosas e @simonequaresmaoficial. Será ao vivo às 21:00 

Se você não conhece a Arielle, precisa conhecer! Ela é uma jovem cristã, casada com o Weliton e juntos têm 4 lindos filhos. Ela luta há quase 2 anos com um câncer.
"
2023-10-09_21-37-00,2023-10-09 21:37:00,['2023-10-09_21-37-00_UTC.jpg'],"Como uma vida pode mudar completamente de um dia para o outro! Com a minha foi assim. Não ficou pedra sobre pedra. Por meio de um câncer o Senhor tirou tudo o que eu tinha ou queria ter, e me deu tudo o que eu precisava e nem sabia.

Ao longo dos últimos 22 meses as coisas aconteceram ao mesmo tempo rápido demais e devagar demais. Sempre na proporção contrária àquilo que eu gostaria. Quero dizer, as coisas que eu gostaria que tivessem acontecido rápido, como a construção da nossa casa, demoraram. Enquanto as coisas que eu gostaria que tivessem acontecido devagar, voaram. E a sensação foi essa sobre o câncer. 

De fato, eu julguei que a doença ficaria controlada por mais tempo. Acreditei os meus cuidados com a saúde me dariam um pouco mais de tempo.

Mas, de repente, o câncer saiu do controle, cresceu inexplicavelmente e deixou a todos num estado de tensão.

Humanamente falando, estou vivendo no último estágio: aquele em que nós torcemos para o câncer não avançar tão rápido quanto poderia. Simplesmente porque ele está avançando.

E eu continuo recebendo inúmeras mensagens amorosas de pessoas falando pra eu fazer tratamento X ou Y, ou tomar tal coisa, e nenhuma destas mensagens, por mais amorosas que sejam, ajudam. 

Vidas não são obras de engenharia, problemas humanos não se corrigem com fórmulas matemáticas. E o fato é que eu posso tentar todas as opções que vocês me dão (como já tentei algumas por muitos meses) e todas elas fracassarem, como as minhas opções fracassaram! 

Não me entendam mal no que eu vou dizer, porque eu não advogo irresponsabilidade e quem está aqui há mais tempo sabe o quanto eu luto com as armas que tenho para cumprir meus deveres (inclusive com respeito à saúde - minha e dos meus), mas algo precisa ser dito: 

As minhas tentativas estão fracassando porque Deus quer que fracassem. É assim que está escrito no salmo 127: se o Senhor não abençoar, o trabalho é vão. E eu sempre vou crer e defender que Ele quer que seja assim para o meu bem! 

Eu tenho percebido um padrão na minha vida e creio fortemente no que vou dizer: Deus não quer a minha ajuda! Ele quer que eu simplesmente CONFIE que Ele vai cuidar!
"
